Epoch;Loss training;NS_Loss;U_Loss;V_Loss;P_Loss;learning rate;time;
1 ; 4.9743e-01 ; 1.2494e-01 ; 4.9235e-01 ; 4.6464e-01 ; 3.8230e-01 ; 1.0000e-03 ; 1.5095e+01 ; 
2 ; 1.5368e+00 ; 1.9912e-01 ; 8.0903e-01 ; 5.9779e-01 ; 3.3214e-01 ; 1.0000e-03 ; 1.1257e+01 ; 
3 ; 3.3571e+01 ; 3.6496e-06 ; 1.0159e+00 ; 4.2152e+00 ; 5.8171e+00 ; 1.0000e-03 ; 1.1263e+01 ; 
4 ; 9.9059e-01 ; 2.7175e-04 ; 9.8812e-01 ; 9.6864e-01 ; 1.0098e+00 ; 1.0000e-03 ; 1.3660e+01 ; 
5 ; 1.0003e+00 ; 9.6110e-13 ; 9.9481e-01 ; 1.0303e+00 ; 1.0042e+00 ; 1.0000e-03 ; 1.1028e+01 ; 
6 ; 9.9659e-01 ; 1.4020e-12 ; 9.9474e-01 ; 9.9605e-01 ; 9.9625e-01 ; 1.0000e-03 ; 1.1040e+01 ; 
7 ; 9.9678e-01 ; 5.2234e-13 ; 1.0076e+00 ; 1.0012e+00 ; 9.9582e-01 ; 1.0000e-03 ; 1.3941e+01 ; 
8 ; 1.0046e+00 ; 5.1556e-12 ; 9.9795e-01 ; 9.9497e-01 ; 9.9595e-01 ; 1.0000e-03 ; 1.1044e+01 ; 
9 ; 1.0063e+00 ; 4.6415e-12 ; 9.9775e-01 ; 9.9942e-01 ; 9.9870e-01 ; 1.0000e-03 ; 1.3483e+01 ; 
10 ; 1.0030e+00 ; 4.2011e-14 ; 9.9690e-01 ; 9.9676e-01 ; 1.0153e+00 ; 1.0000e-03 ; 1.1345e+01 ; 
11 ; 9.9706e-01 ; 3.3425e-13 ; 1.0010e+00 ; 9.9475e-01 ; 9.9804e-01 ; 1.0000e-03 ; 1.1062e+01 ; 
12 ; 1.0049e+00 ; 9.6416e-14 ; 9.9588e-01 ; 1.0013e+00 ; 9.9682e-01 ; 1.0000e-03 ; 1.3691e+01 ; 
